event_id;team_host        ;team_away     ;league;bet_type            ;expected_result;coefficient;actual_result;win_status
41111451;Сандерленд       ;Эвертон       ;0     ;1Х2 (Основное время);Эвертон        ;2.11       ;0:3(0:0, 0:3);1         
41111450;Суонси Сити      ;Челси         ;0     ;1Х2 (Основное время);Челси          ;1.59       ;2:2(0:1, 2:1);0         
41111449;Ливерпуль        ;Лестер Сити   ;0     ;1Х2 (Основное время);Ливерпуль      ;1.61       ;4:1 (2:1)    ;1         
41111448;Мидлсбро         ;Кристал Пэлас ;0     ;1Х2 (Основное время);Мидлсбро       ;2.15       ;1:2(1:1, 0:1);0         
41111447;Бёрнли           ;Халл Сити     ;0     ;1Х2 (Основное время);Халл Сити      ;3.37       ;1:1 (0:0)    ;0         
41111446;Сток Сити        ;Тоттенхэм     ;0     ;Двойной шанс        ;1X             ;2.09       ;0:4(0:1, 0:3);0         
41111445;Арсенал          ;Саутгемптон   ;0     ;1Х2 (Основное время);Арсенал        ;1.61       ;2:1(1:1, 1:0);1         
41111444;Борнмут          ;Вест Бромвич  ;0     ;Двойной шанс        ;X2             ;1.81       ;1:0(0:0, 1:0);0         
41111443;Вест Хэм         ;Уотфорд       ;0     ;Фора 1-я половина +0;Уотфорд        ;1.00       ;2:4 (2:2)    ;undefined 
41111442;Манчестер Юнайтед;Манчестер Сити;0     ;1Х2 (Основное время);Манчестер Сити ;3.12       ;1:2(1:2, 0:0);1         
        
